name,latitude,longitude,tag,score
KT 혜화국사,37.577188,127.001504,통신망,1
KT 구로국사,37.481017,126.902866,통신망,1
LGU+상암교환국,37.582549,126.886486,통신망,1
LGU+ 마곡국사,37.561998,126.834665,통신망,1
SK브로드밴드동작종합정보센터,37.496471,126.915051,통신망,1
SKT 보라매사옥 ,37.492235,126.926127,통신망,1
SKT 성수사옥,37.546313,127.062777,통신망,1
수도권고속철도(㈜SR),37.489453,127.10375,철도,1
김포공항,37.565683,126.801253,공항,1
서울지하철1~9호선(서울교통공사),37.563414,127.056923,지하철,1
서울지하철9호선(서울메트로9호선㈜),37.582267,126.795794,지하철,1
한국은행,37.554914,126.920527,금융,1
산업은행,37.527901,126.920789,금융,1
한국수출입은행,37.528724,126.923428,금융,1
금융결재원,37.500442,127.038184,금융,1
코스콤,37.521861,126.928489,금융,1
한국예탁결제원,37.521439,126.928573,금융,1
혈액관리본부,37.560131,126.988065,혈액원,1
서울중앙혈액원,37.548035,126.870758,혈액원,1
서울남부혈액원,37.4821572,127.0488018,혈액원,1
서울동부혈액원,37.6470903,127.0619121,혈액원,1
중앙혈액검사센터,37.5484544,126.8712658,혈액검사센터,1
암사정수장,37.5677042,127.1405647,지방정수장,1
구의정수장,37.5442119,127.0930084,지방정수장,1
뚝도정수장,37.5402628,127.0419434,지방정수장,1
영등포정수장,37.547564,126.884068,지방정수장,1
정부서울청사,37.5748454,126.9754214,중앙행정기관,1
국방부,37.5336638,126.9776003,중앙행정기관,1
대검찰청,37.4938474,127.0050471,중앙행정기관,1
경찰청,37.56359,126.9673513,중앙행정기관,1
기상청,37.4937629,126.9167512,중앙행정기관,1
목동공동구,37.5303,126.8794,공동구,1
여의도공동구,37.5215,126.9242,공동구,1
가락공동구,37.4925,127.1147,공동구,1
개포공동구,37.4832,127.0601,공동구,1
상계공동구,37.6496,127.0609,공동구,1
상암공동구,37.5794,126.8926,공동구,1
은평공동구,37.6358,126.9287,공동구,1
마곡공동구,37.5623,126.8248,공동구,1
경복궁,37.579617,126.977041,국가유산,1
창덕궁,37.5794309,126.9910426,국가유산,1
창경궁,37.5788149,126.9949298,국가유산,1
덕수궁(숭례문 포함),37.5658862,126.9749017,국가유산,1
종묘,37.5746313,126.9938158,국가유산,1
